;CountryName;CountryID;lowcarbonRDexp;year;Electricity_production_from_oil_gas_coal;general_public_expenditures;Coal_rents_percentage_of_GDP;Inflation;GDP_growth_annual_percentage;Natural_gas_rents_percentage_of_GDP;Oil_rents_percentage_of_GDP;disproportionality;election_year;green_vs_growth;left_vs_right;green_cabinet;left_incumbent_gov;single_party_gov;environmental_saliency ;political_constraints;institutional_constraints;social_expenditures;EU;prop;fed;pres;bic;deficit
AUS;Australia;1;1;1990;90.3439693558109;17.6413611789241;0.368110163386599;6.0968483152253;3.57648576106794;0.157486268908373;1.25254765548291;10.07;1;6.01837730;-8.686345100;0;1;1;6.07;0.4983884;3;13.14;0;1;1;0;4;-0.464409785310406
AUS;Australia;1;1;1991;89.401798947207;18.6314826407281;0.348024364242002;3.02172655478618;-0.383071892767745;0.107208247335413;0.641089369763699;10.07;0;4.95556021;-6.868358612;0;1;1;6.07;0.5081350;3;14.37;0;1;1;0;4;-2.97196153790652
AUS;Australia;1;1;1992;89.933134748564;19.4956637191139;0.25226883101859;1.47889530805433;0.42861956748601;0.0832232912731364;0.695787345054803;10.07;0;3.89274287;-5.050372124;0;1;1;6.07;0.5081350;3;15.39;0;1;1;0;4;-4.56237282322021
AUS;Australia;1;1;1993;89.450856428729;19.3757808367193;0.138930542037576;0.865919519598023;4.04742526816615;0.110860727632318;0.665298973023515;10.07;1;3.07094955;-3.916913509;0;1;1;1.19;0.5081350;3;15.79;0;1;1;0;4;-3.01361541407499
AUS;Australia;1;1;1994;89.8055261442014;18.8126980997426;0.0538622355711252;1.01778417916596;3.98092334747493;0.142417648633647;0.61634916240798;10.07;0;2.65086269;-3.924334764;0;1;1;1.19;0.4955083;3;15.52;0;1;1;0;4;-2.65660164262521
AUS;Australia;1;1;1995;90.3758571800584;18.63569256089;0.164112788237986;2.2800906229738;3.88710629393142;0.15103499519811;0.618987553800695;10.07;0;2.23077583;-3.931756020;0;1;1;1.19;0.4955083;3;17.05;0;1;1;0;4;-1.66068205045873
AUS;Australia;1;1;1996;90.7702721759977;18.5783320225059;0.110524894053784;2.71749386408476;3.85684122668562;0.177637153954222;0.729026434238987;10.07;1;3.01512527;0.620093703;0;0;0;7.02;0.4955083;3;17.19;0;1;1;0;4;-0.611951043916487
AUS;Australia;1;1;1997;90.4123242734078;18.2649812801368;0.102546848515319;1.27431053585624;3.91283547292693;0.158575712652868;0.611106597565197;10.07;0;4.14169598;3.074181080;0;0;0;7.02;0.5227430;3;17.01;0;1;1;0;4;0.433582076510372
AUS;Australia;1;1;1998;91.5659499843605;18.2593937748209;0.174570637439188;1.1871334180781;4.61335689242107;0.115513259567832;0.312684422414137;10.07;1;5.03038502;4.143047333;0;0;0;1.17;0.5227430;3;17.79;0;1;1;0;4;2.25433554726504
AUS;Australia;1;1;1999;91.4559464118216;18.6748054355733;0.106665704241928;0.479338835084704;4.95632450612884;0.155562233405726;0.52197577632879;10.07;0;5.83644009;5.004405975;0;0;0;1.17;0.5127056;3;17.43;0;1;1;0;4;2.93007675020142
AUS;Australia;1;1;2000;91.6183814279724;18.4697052072007;0.183263142708389;2.56038355183502;3.90117137135968;0.269896013601229;1.29517975562648;10.07;0;6.59291410;5.741259575;0;0;0;1.17;0.5127056;3;18.09;0;1;1;0;4;1.01159904687742
AUS;Australia;1;1;2001;91.901545047154;18.4759851519884;0.616532302905281;4.62033341466255;2.04141733816161;0.279503111343229;0.927327999240232;10.07;1;7.29999161;6.482920647;0;0;0;2.17;0.5127056;3;17.42;0;1;1;0;4;-0.0384449036474599
AUS;Australia;1;1;2002;92.1390811775985;18.290314985834;0.380923136998468;2.84406455501225;3.99358986481653;0.255135432376975;0.879394365989911;10.07;0;8.21925545;7.495095730;0;0;0;2.17;0.5115177;3;17.44;0;1;1;0;4;1.73373550739481
AUS;Australia;1;1;2003;91.5593011342515;18.3550643208994;0.214895957156679;2.96793754610954;3.1113982078941;0.272453090366717;0.707382438518468;10.07;0;9.47329617;8.649391174;0;0;0;2.17;0.5115177;3;17.61;0;1;1;0;4;2.61860279190422
AUS;Australia;1;3;2004;91.8133498091695;18.2444825270374;0.923080881601952;3.23706174014373;4.21663327252608;0.262354199724327;0.665936279412797;10.07;1;10.70091629;9.829587936;0;0;0;4.19;0.5115177;3;17.39;0;1;1;0;4;1.459710030575
AUS;Australia;1;2;2005;91.1962933605434;18.3239524026787;0.99654018128929;3.82436039577365;3.15375271041142;0.265935640751273;0.932534603721149;10.07;0;13.54891586;10.412275314;0;0;0;4.19;0.5046000;3;16.74;0;1;1;0;4;2.28752359115935
AUS;Australia;1;2;2006;90.7006922273737;18.2394904815678;1.06012972096843;5.11737711458915;2.74063570365783;0.294977460280103;0.986904956118296;10.07;0;17.48011398;10.527669907;0;0;0;4.19;0.5046000;3;16.64;0;1;1;0;4;2.55269652602375
AUS;Australia;1;2;2007;91.3519275328321;18.1052923685362;0.847497475975983;4.98168605986847;3.77791678266478;0.292526804865231;0.928467966021898;10.07;1;21.41131210;10.643063545;0;0;0;5.50;0.5046000;3;16.76;0;1;1;0;4;2.12091055002085
AUS;Australia;1;2;2008;91.884742443628;18.0220039299395;2.94788882418366;4.61674273676633;3.5682700322582;0.300525540951841;1.06201690023171;10.07;0;18.39948082;-1.642685533;0;1;1;5.50;0.4890325;3;17.93;0;1;1;0;4;-0.001862174777246
